iter	Passed	Remaining
959	27725	1155
960	27733	1125
961	27742	1095
962	27751	1066
963	27760	1036
964	27769	1007
965	27778	977
966	27786	948
967	27795	918
968	27806	889
969	27813	860
970	27822	830
971	27834	801
972	27841	772
973	27857	743
974	27873	714
975	27890	685
976	27907	656
977	27927	628
978	27949	599
979	27966	570
980	27981	541
981	28001	513
982	28017	484
983	28045	456
984	28062	427
985	28082	398
986	28096	370
987	28113	341
988	28140	312
989	28168	284
990	28185	255
991	28210	227
992	28230	199
993	28250	170
994	28269	142
995	28287	113
996	28313	85
997	28330	56
998	28353	28
999	28366	0
94	32291	162
995	32317	129
996	32344	97
997	32362	64
998	32383	32
999	32406	0

997	38340	76
998	38365	38
999	38401	0
